filename,width,height,class,xmin,ymin,xmax,ymax
PXL_20211210_152656935.jpg,3840,2160,card,522,760,1414,1430
PXL_20211210_152656935.jpg,3840,2160,card,1629,1284,2437,1855
PXL_20211210_152656935.jpg,3840,2160,card,2545,1273,3327,1814
PXL_20211210_152656935.jpg,3840,2160,card,2514,540,3299,1101
PXL_20211210_152656935.jpg,3840,2160,card,1558,537,2342,1037
PXL_20211210_152452679.jpg,2160,3840,card,162,1220,969,1735
PXL_20211210_152452679.jpg,2160,3840,card,1172,1185,1869,1718
PXL_20211210_152452679.jpg,2160,3840,card,294,1947,1080,2514
PXL_20211210_152452679.jpg,2160,3840,card,1246,1880,1913,2365
PXL_20211210_152452679.jpg,2160,3840,card,1220,2584,1857,3077
PXL_20211210_152452679.jpg,2160,3840,card,388,2721,1121,3265
PXL_20211210_152611313.jpg,3840,2160,card,510,1471,1358,2089
PXL_20211210_152611313.jpg,3840,2160,card,1417,1419,2233,1986
PXL_20211210_152611313.jpg,3840,2160,card,2417,1389,3225,1891
PXL_20211210_152611313.jpg,3840,2160,card,2323,848,3102,1319
PXL_20211210_152611313.jpg,3840,2160,card,2292,191,3033,650
PXL_20211210_152611313.jpg,3840,2160,card,1451,194,2192,645
PXL_20211210_152611313.jpg,3840,2160,card,507,219,1297,704
PXL_20211210_152611313.jpg,3840,2160,card,489,763,1307,1335
PXL_20211210_152611313.jpg,3840,2160,card,1458,866,2225,1350
PXL_20211210_152629775.jpg,3840,2160,card,1129,760,1583,1355
PXL_20211210_152629775.jpg,3840,2160,card,1617,709,1988,1250
PXL_20211210_152629775.jpg,3840,2160,card,1678,1373,2106,2017
PXL_20211210_152629775.jpg,3840,2160,card,1129,1419,1540,2037
PXL_20211210_152506261.jpg,3840,2160,card,1088,107,1542,668
PXL_20211210_152506261.jpg,3840,2160,card,1750,796,2268,1481
PXL_20211210_152506261.jpg,3840,2160,card,953,863,1501,1553
PXL_20211210_152506261.jpg,3840,2160,card,2437,132,2919,689
PXL_20211210_152506261.jpg,3840,2160,card,2537,789,3091,1468
PXL_20211210_152506261.jpg,3840,2160,card,1747,81,2194,637
PXL_20211210_152617474.jpg,2160,3840,card,498,1006,1605,1743
PXL_20211210_152617474.jpg,2160,3840,card,472,2080,1605,2817
PXL_20211210_152606380.jpg,3840,2160,card,1658,876,2371,1355
PXL_20211210_152606380.jpg,3840,2160,card,1623,1417,2338,1904
PXL_20211210_152606380.jpg,3840,2160,card,2507,1399,3184,1853
PXL_20211210_152606380.jpg,3840,2160,card,2451,894,3133,1353
PXL_20211210_152606380.jpg,3840,2160,card,2456,237,3130,727
PXL_20211210_152606380.jpg,3840,2160,card,1671,194,2366,666
PXL_20211210_152606380.jpg,3840,2160,card,728,155,1517,712
PXL_20211210_152606380.jpg,3840,2160,card,725,760,1520,1294
PXL_20211210_152606380.jpg,3840,2160,card,782,1440,1574,1989
PXL_20211210_152650306.jpg,3840,2160,card,463,158,1537,843
PXL_20211210_152650306.jpg,3840,2160,card,1896,1160,2845,1776
PXL_20211210_152650306.jpg,3840,2160,card,1827,173,2814,884
PXL_20211210_152650306.jpg,3840,2160,card,647,1107,1699,1786
PXL_20211210_152458737.jpg,3840,2160,card,1553,258,2156,589
PXL_20211210_152458737.jpg,3840,2160,card,2225,786,2892,1158
PXL_20211210_152458737.jpg,3840,2160,card,2271,1345,3012,1830
PXL_20211210_152458737.jpg,3840,2160,card,1343,1301,2051,1737
PXL_20211210_152458737.jpg,3840,2160,card,1410,743,2056,1127
PXL_20211210_152458737.jpg,3840,2160,card,2233,271,2838,594
PXL_20211210_152533791.jpg,2160,3840,card,769,2388,1261,3058
PXL_20211210_152533791.jpg,2160,3840,card,1124,2395,1591,3051
PXL_20211210_152533791.jpg,2160,3840,card,1357,1702,1765,2347
PXL_20211210_152533791.jpg,2160,3840,card,743,1636,1209,2302
PXL_20211210_152533791.jpg,2160,3840,card,180,2202,724,2895
PXL_20211210_152533791.jpg,2160,3840,card,91,1517,628,2228
PXL_20211210_152533791.jpg,2160,3840,card,320,591,909,1388
PXL_20211210_152533791.jpg,2160,3840,card,865,832,1520,1621
PXL_20211210_152519376.jpg,2160,3840,card,254,951,976,1539
PXL_20211210_152519376.jpg,2160,3840,card,313,1762,954,2188
PXL_20211210_152519376.jpg,2160,3840,card,320,2280,980,2773
PXL_20211210_152519376.jpg,2160,3840,card,1309,1180,2091,1795
PXL_20211210_152519376.jpg,2160,3840,card,1354,1828,2057,2277
PXL_20211210_152552415.jpg,2160,3840,card,546,751,1072,1580
PXL_20211210_152552415.jpg,2160,3840,card,569,1673,1080,2451
PXL_20211210_152552415.jpg,2160,3840,card,1187,1621,1709,2402
PXL_20211210_152552415.jpg,2160,3840,card,606,2458,1117,3228
PXL_20211210_152552415.jpg,2160,3840,card,1139,695,1669,1525
PXL_20211210_152503774.jpg,3840,2160,card,994,243,1509,825
PXL_20211210_152503774.jpg,3840,2160,card,1627,314,2132,922
PXL_20211210_152503774.jpg,3840,2160,card,2301,473,2786,1101
PXL_20211210_152503774.jpg,3840,2160,card,2240,1148,2778,1914
PXL_20211210_152503774.jpg,3840,2160,card,1460,1045,2024,1766
PXL_20211210_152503774.jpg,3840,2160,card,683,973,1332,1714
PXL_20211210_152643072.jpg,2160,3840,card,665,1914,1224,2321
PXL_20211210_152643072.jpg,2160,3840,card,1354,1802,2013,2280
PXL_20211210_152643072.jpg,2160,3840,card,1446,2377,2113,2799
PXL_20211210_152643072.jpg,2160,3840,card,657,2402,1216,2806
PXL_20211210_152643072.jpg,2160,3840,card,1554,3599,2160,3840
PXL_20211210_152541556.jpg,2160,3840,card,861,1006,1576,1480
PXL_20211210_152541556.jpg,2160,3840,card,602,1562,1376,2365
PXL_20211210_152541556.jpg,2160,3840,card,806,2332,1635,3128
PXL_20211210_152453185.jpg,2160,3840,card,91,1265,909,1780
PXL_20211210_152453185.jpg,2160,3840,card,1109,1228,1794,1758
PXL_20211210_152453185.jpg,2160,3840,card,220,1984,1006,2543
PXL_20211210_152453185.jpg,2160,3840,card,1172,1925,1828,2410
PXL_20211210_152453185.jpg,2160,3840,card,298,2758,1039,3302
PXL_20211210_152453185.jpg,2160,3840,card,1143,2625,1783,3117
